order_id,order_date,product,category,region,units,unit_price,revenue
ORD-0040,2025-07-14,Logo T-Shirt,Apparel,,6,18.99,113.94
ORD-0041,2025-05-27,Baseball Cap,Apparel,West,15,16.99,254.85
ORD-0042,2025-04-22,Office Chair,Furniture,North,10,189.99,1899.9
ORD-0043,2025-10-27,Notebook Pack,Office Supplies,South,2,12.99,25.98
ORD-0044,2025-04-06,Mechanical Keyboard,Electronics,North,3,99.99,299.97
ORD-0045,2025-10-19,Monitor Arm,Furniture,North,4,89.99,359.96
ORD-0046,2025-10-17,Webcam HD,Electronics,East,19,79.99,1519.81
ORD-0047,2025-05-16,Standing Desk,Furniture,East,8,449.99,3599.92
ORD-0048,2025-01-05,Baseball Cap,Apparel,North,3,16.99,50.97
ORD-0049,2025-09-17,Mechanical Keyboard,Electronics,East,7,99.99,699.93
ORD-0050,2025-05-26,USB-C Hub,Electronics,East,12,39.99,479.88
ORD-0051,2025-12-06,Mechanical Keyboard,Electronics,South,10,99.99,999.9
ORD-0052,2025-10-11,Notebook Pack,Office Supplies,East,4,12.99,51.96
ORD-0053,2025-12-18,Standing Desk,Furniture,East,7,449.99,3149.93
ORD-0054,2025-02-17,Baseball Cap,Apparel,East,2,16.99,33.98
ORD-0055,2025-03-08,Wireless Mouse,Electronics,East,11,24.99,274.89
ORD-0056,2025-12-28,Monitor Arm,Furniture,North,18,89.99,1619.82
ORD-0057,2025-10-07,Wireless Mouse,Electronics,East,5,24.99,124.95
ORD-0058,2025-01-22,Monitor Arm,Furniture,North,5,89.99,449.95
ORD-0059,2025-12-08,Gel Pens 10ct,Office Supplies,West,8,8.99,71.92
ORD-0060,2025-04-01,Office Chair,Furniture,North,6,189.99,1139.94
ORD-0061,2025-12-09,Standing Desk,Furniture,South,14,449.99,6299.86
ORD-0062,2025-07-15,Gel Pens 10ct,Office Supplies,West,4,8.99,35.96
ORD-0063,2025-06-29,Office Chair,Furniture,South,15,189.99,2849.85
ORD-0064,2025-07-24,Desk Lamp,Furniture,North,7,34.99,244.93
ORD-0065,2025-07-24,Stapler,Office Supplies,East,17,14.99,254.83
ORD-0066,2025-04-02,Wireless Mouse,Electronics,East,9,24.99,224.91
ORD-0067,2025-08-11,Wireless Mouse,Electronics,East,20,24.99,499.8
ORD-0068,2025-03-01,Rain Jacket,Apparel,South,17,69.99,1189.83
ORD-0069,2025-01-01,Notebook Pack,Office Supplies,South,14,12.99,181.86
ORD-0070,2025-12-07,Paper Ream,Office Supplies,East,3,9.99,29.97
ORD-0071,2025-06-08,Bluetooth Speaker,Electronics,East,17,59.99,1019.83
ORD-0072,2025-03-07,Baseball Cap,Apparel,West,18,16.99,305.82
ORD-0073,2025-06-04,Bookshelf,Furniture,North,19,129.99,2469.81
ORD-0074,2025-08-09,Stapler,Office Supplies,East,7,14.99,104.93
ORD-0075,2025-12-12,Socks 3-Pack,Apparel,West,15,11.99,179.85
ORD-0076,2025-09-21,Desk Lamp,Furniture,East,10,34.99,349.9
ORD-0077,2025-04-26,USB-C Hub,Electronics,South,10,39.99,399.9
ORD-0078,2025-09-01,Wireless Mouse,Electronics,North,8,24.99,199.92
ORD-0079,2025-04-10,Socks 3-Pack,Apparel,West,19,11.99,227.81
ORD-0080,2025-03-17,Socks 3-Pack,Apparel,North,8,11.99,95.92
ORD-0081,2025-04-01,Webcam HD,Electronics,West,8,79.99,639.92
ORD-0082,2025-03-04,Mechanical Keyboard,Electronics,West,8,99.99,799.92
ORD-0083,2025-09-16,Paper Ream,Office Supplies,West,20,9.99,199.8
ORD-0084,2025-05-13,Monitor Arm,Furniture,East,15,89.99,1349.85
ORD-0085,2025-08-14,Hoodie,Apparel,East,9,44.99,404.91
ORD-0086,2025-06-13,Standing Desk,Furniture,North,11,449.99,4949.89
ORD-0087,2025-07-16,Office Chair,Furniture,South,8,189.99,1519.92
ORD-0088,2025-06-19,Webcam HD,Electronics,West,14,79.99,1119.86
ORD-0089,2025-07-19,USB-C Hub,Electronics,North,14,39.99,559.86
ORD-0090,2025-06-30,Socks 3-Pack,Apparel,West,1,11.99,11.99
ORD-0091,2025-11-05,Rain Jacket,Apparel,West,18,69.99,1259.82
ORD-0092,2025-09-06,Standing Desk,Furniture,,14,449.99,6299.86
ORD-0093,2025-08-28,Paper Ream,Office Supplies,North,6,9.99,59.94
ORD-0094,2025-12-06,Rain Jacket,Apparel,,19,69.99,1329.81
ORD-0095,2025-04-04,Hoodie,Apparel,West,15,44.99,674.85
ORD-0096,2025-06-17,Gel Pens 10ct,Office Supplies,West,15,8.99,134.85
ORD-0097,2025-02-11,Paper Ream,Office Supplies,North,9,9.99,89.91
ORD-0098,2025-11-30,Gel Pens 10ct,Office Supplies,North,3,8.99,26.97
ORD-0099,2025-11-15,Office Chair,Furniture,South,1,189.99,189.99
ORD-0100,2025-04-22,Logo T-Shirt,Apparel,East,19,18.99,360.81
ORD-0101,2025-11-07,Gel Pens 10ct,Office Supplies,North,20,8.99,179.8
ORD-0102,2025-10-24,Standing Desk,Furniture,,4,449.99,1799.96
ORD-0103,2025-07-23,Desk Organizer,Office Supplies,South,13,19.99,259.87
ORD-0104,2025-02-22,Mechanical Keyboard,Electronics,East,8,99.99,799.92
ORD-0105,2025-06-27,Mechanical Keyboard,Electronics,East,2,99.99,199.98
ORD-0106,2025-01-07,Mechanical Keyboard,Electronics,West,11,99.99,1099.89
ORD-0107,2025-11-22,Webcam HD,Electronics,West,12,79.99,959.88
ORD-0108,2025-09-25,Monitor Arm,Furniture,East,6,89.99,539.94
ORD-0109,2025-10-31,Socks 3-Pack,Apparel,South,14,11.99,167.86
ORD-0110,2025-05-05,Bluetooth Speaker,Electronics,West,15,59.99,899.85
ORD-0111,2025-06-16,Notebook Pack,Office Supplies,South,16,12.99,207.84
ORD-0112,2025-05-24,Stapler,Office Supplies,East,11,14.99,164.89
ORD-0113,2025-02-13,Mechanical Keyboard,Electronics,West,7,99.99,699.93
ORD-0114,2025-12-20,Rain Jacket,Apparel,West,8,69.99,559.92
ORD-0115,2025-05-31,Logo T-Shirt,Apparel,South,3,18.99,56.97
ORD-0116,2025-08-31,Desk Organizer,Office Supplies,East,12,19.99,239.88
ORD-0117,2025-06-30,Rain Jacket,Apparel,East,11,69.99,769.89
ORD-0118,2025-03-03,Stapler,Office Supplies,East,8,14.99,119.92
ORD-0119,2025-04-09,Mechanical Keyboard,Electronics,West,6,99.99,599.94
ORD-0120,2025-11-02,Desk Organizer,Office Supplies,North,17,19.99,339.83
ORD-0121,2025-07-04,Standing Desk,Furniture,North,8,449.99,3599.92
ORD-0122,2025-01-28,Standing Desk,Furniture,South,2,449.99,899.98
ORD-0123,2025-10-21,Logo T-Shirt,Apparel,West,1,18.99,18.99
ORD-0124,2025-01-27,Baseball Cap,Apparel,West,6,16.99,101.94
ORD-0125,2025-09-09,Wireless Mouse,Electronics,North,13,24.99,324.87
ORD-0126,2025-06-05,Office Chair,Furniture,South,19,189.99,3609.81
ORD-0127,2025-11-07,Mechanical Keyboard,Electronics,South,14,99.99,1399.86
ORD-0128,2025-06-02,Socks 3-Pack,Apparel,West,15,11.99,179.85
ORD-0129,2025-01-31,Desk Organizer,Office Supplies,North,20,19.99,399.8
ORD-0130,2025-12-05,Office Chair,Furniture,South,9,189.99,1709.91
ORD-0131,2025-03-22,Bookshelf,Furniture,,3,129.99,389.97
ORD-0132,2025-05-30,Rain Jacket,Apparel,East,16,69.99,1119.84
ORD-0133,2025-12-18,Paper Ream,Office Supplies,East,3,9.99,29.97
ORD-0134,2025-10-06,Monitor Arm,Furniture,South,4,89.99,359.96
ORD-0135,2025-01-31,Gel Pens 10ct,Office Supplies,East,3,8.99,26.97
ORD-0136,2025-08-28,Paper Ream,Office Supplies,West,4,9.99,39.96
ORD-0137,2025-09-10,Desk Organizer,Office Supplies,North,18,19.99,359.82
ORD-0138,2025-05-09,Baseball Cap,Apparel,,20,16.99,339.8
ORD-0139,2025-01-11,Bookshelf,Furniture,East,19,129.99,2469.81
ORD-0140,2025-09-23,USB-C Hub,Electronics,East,16,39.99,639.84
ORD-0141,2025-11-22,Bookshelf,Furniture,North,14,129.99,1819.86
ORD-0142,2025-06-20,Baseball Cap,Apparel,North,14,16.99,237.86
ORD-0143,2025-12-22,Standing Desk,Furniture,West,14,449.99,6299.86
ORD-0144,2025-06-11,Webcam HD,Electronics,North,3,79.99,239.97
ORD-0145,2025-12-03,Rain Jacket,Apparel,West,1,69.99,69.99
ORD-0146,2025-09-23,Logo T-Shirt,Apparel,West,7,18.99,132.93
ORD-0147,2025-05-17,Logo T-Shirt,Apparel,East,7,18.99,132.93
ORD-0148,2025-01-15,Socks 3-Pack,Apparel,South,4,11.99,47.96
ORD-0149,2025-01-08,Standing Desk,Furniture,North,18,449.99,8099.82
ORD-0150,2025-03-02,Desk Lamp,Furniture,South,15,34.99,524.85
ORD-0151,2025-12-28,Baseball Cap,Apparel,West,17,16.99,288.83
ORD-0152,2025-10-10,Hoodie,Apparel,South,15,44.99,674.85
ORD-0153,2025-08-01,Desk Lamp,Furniture,East,9,34.99,314.91
ORD-0154,2025-10-28,Bluetooth Speaker,Electronics,West,10,59.99,599.9
ORD-0155,2025-09-05,Monitor Arm,Furniture,West,18,89.99,1619.82
ORD-0156,2025-12-24,Baseball Cap,Apparel,West,7,16.99,118.93
ORD-0157,2025-06-12,Monitor Arm,Furniture,West,2,89.99,179.98
ORD-0158,2025-01-19,Hoodie,Apparel,East,16,44.99,719.84
ORD-0159,2025-09-27,Webcam HD,Electronics,North,4,79.99,319.96
ORD-0160,2025-02-08,Monitor Arm,Furniture,East,5,89.99,449.95
ORD-0161,2025-11-29,Desk Organizer,Office Supplies,East,13,19.99,259.87
ORD-0162,2025-10-05,Baseball Cap,Apparel,North,16,16.99,271.84
ORD-0163,2025-02-16,Standing Desk,Furniture,North,8,449.99,3599.92
ORD-0164,2025-12-22,Webcam HD,Electronics,North,6,79.99,479.94
ORD-0165,2025-05-31,Bluetooth Speaker,Electronics,West,2,59.99,119.98
ORD-0166,2025-07-30,Office Chair,Furniture,South,17,189.99,3229.83
ORD-0167,2025-11-09,Office Chair,Furniture,South,3,189.99,569.97
ORD-0168,2025-04-29,Rain Jacket,Apparel,East,5,69.99,349.95
ORD-0169,2025-08-27,Baseball Cap,Apparel,South,1,16.99,16.99
ORD-0170,2025-10-28,Webcam HD,Electronics,West,12,79.99,959.88
ORD-0171,2025-04-12,Paper Ream,Office Supplies,West,10,9.99,99.9
ORD-0172,2025-10-20,USB-C Hub,Electronics,East,13,39.99,519.87
ORD-0173,2025-05-21,Notebook Pack,Office Supplies,,13,12.99,168.87
ORD-0174,2025-05-27,Mechanical Keyboard,Electronics,South,16,99.99,1599.84
ORD-0175,2025-11-14,Gel Pens 10ct,Office Supplies,South,7,8.99,62.93
ORD-0176,2025-08-14,Wireless Mouse,Electronics,East,10,24.99,249.9
ORD-0177,2025-06-17,Desk Lamp,Furniture,South,10,34.99,349.9
ORD-0178,2025-07-07,Office Chair,Furniture,East,18,189.99,3419.82
ORD-0179,2025-06-01,Standing Desk,Furniture,East,16,449.99,7199.84
ORD-0180,2025-03-14,Webcam HD,Electronics,South,3,79.99,239.97
ORD-0181,2025-02-16,Rain Jacket,Apparel,North,12,69.99,839.88
ORD-0182,2025-08-21,Desk Organizer,Office Supplies,East,4,19.99,79.96
ORD-0183,2025-12-12,Baseball Cap,Apparel,North,4,16.99,67.96
ORD-0184,2025-11-28,Desk Organizer,Office Supplies,West,8,19.99,159.92
ORD-0185,2025-03-13,Paper Ream,Office Supplies,North,4,9.99,39.96
ORD-0186,2025-02-19,Paper Ream,Office Supplies,South,4,9.99,39.96
ORD-0187,2025-12-10,Socks 3-Pack,Apparel,West,12,11.99,143.88
ORD-0188,2025-09-08,Monitor Arm,Furniture,East,4,89.99,359.96
ORD-0189,2025-08-16,Bluetooth Speaker,Electronics,South,7,59.99,419.93
ORD-0190,2025-10-06,Notebook Pack,Office Supplies,East,12,12.99,155.88
ORD-0191,2025-04-08,Webcam HD,Electronics,West,9,79.99,719.91
ORD-0192,2025-01-11,USB-C Hub,Electronics,East,20,39.99,799.8
ORD-0193,2025-04-16,Office Chair,Furniture,South,19,189.99,3609.81
ORD-0194,2025-03-17,Office Chair,Furniture,North,11,189.99,2089.89
ORD-0195,2025-10-04,Gel Pens 10ct,Office Supplies,South,5,8.99,44.95
ORD-0196,2025-01-08,Wireless Mouse,Electronics,South,5,24.99,124.95
ORD-0197,2025-05-16,Notebook Pack,Office Supplies,West,6,12.99,77.94
ORD-0198,2025-08-18,Wireless Mouse,Electronics,North,16,24.99,399.84
ORD-0199,2025-11-11,Rain Jacket,Apparel,East,8,69.99,559.92
ORD-0200,2025-09-03,Logo T-Shirt,Apparel,West,2,18.99,37.98
ORD-0201,2025-02-07,Webcam HD,Electronics,East,15,79.99,1199.85
ORD-0202,2025-05-21,Desk Lamp,Furniture,East,5,34.99,174.95
ORD-0203,2025-05-31,Rain Jacket,Apparel,West,17,69.99,1189.83
ORD-0204,2025-04-21,Wireless Mouse,Electronics,South,18,24.99,449.82
ORD-0205,2025-07-24,Baseball Cap,Apparel,North,15,16.99,254.85
ORD-0206,2025-12-07,Paper Ream,Office Supplies,South,11,9.99,109.89
ORD-0207,2025-02-13,Logo T-Shirt,Apparel,North,3,18.99,56.97
ORD-0208,2025-01-31,Gel Pens 10ct,Office Supplies,East,18,8.99,161.82
ORD-0209,2025-12-07,Webcam HD,Electronics,West,12,79.99,959.88
ORD-0210,2025-06-09,Bluetooth Speaker,Electronics,South,20,59.99,1199.8
ORD-0211,2025-02-25,Monitor Arm,Furniture,East,8,89.99,719.92
ORD-0212,2025-04-26,Bluetooth Speaker,Electronics,North,19,59.99,1139.81
ORD-0213,2025-05-20,Notebook Pack,Office Supplies,East,6,12.99,77.94
ORD-0214,2025-04-03,Stapler,Office Supplies,West,1,14.99,14.99
ORD-0215,2025-02-16,USB-C Hub,Electronics,South,1,39.99,39.99
ORD-0216,2025-06-24,Socks 3-Pack,Apparel,East,15,11.99,179.85
ORD-0217,2025-02-13,Desk Organizer,Office Supplies,South,20,19.99,399.8
ORD-0218,2025-12-12,Bookshelf,Furniture,West,2,129.99,259.98
ORD-0219,2025-08-15,Socks 3-Pack,Apparel,South,20,11.99,239.8
ORD-0220,2025-02-26,Bluetooth Speaker,Electronics,West,14,59.99,839.86
ORD-0221,2025-07-22,Notebook Pack,Office Supplies,North,8,12.99,103.92
ORD-0222,2025-04-19,USB-C Hub,Electronics,East,10,39.99,399.9
ORD-0223,2025-01-04,Stapler,Office Supplies,West,4,14.99,59.96
ORD-0224,2025-09-30,Office Chair,Furniture,East,13,189.99,2469.87
ORD-0225,2025-08-12,Webcam HD,Electronics,,2,79.99,159.98
ORD-0226,2025-08-08,Bluetooth Speaker,Electronics,West,19,59.99,1139.81
ORD-0227,2025-01-11,Notebook Pack,Office Supplies,South,13,12.99,168.87
ORD-0228,2025-08-12,Baseball Cap,Apparel,South,3,16.99,50.97
ORD-0229,2025-09-26,Rain Jacket,Apparel,East,13,69.99,909.87
ORD-0230,2025-03-28,Gel Pens 10ct,Office Supplies,North,11,8.99,98.89
ORD-0231,2025-11-27,Standing Desk,Furniture,South,12,449.99,5399.88
ORD-0232,2025-04-12,USB-C Hub,Electronics,South,9,39.99,359.91
ORD-0233,2025-08-26,USB-C Hub,Electronics,West,16,39.99,639.84
ORD-0234,2025-08-14,Stapler,Office Supplies,West,5,14.99,74.95
ORD-0235,2025-01-29,Stapler,Office Supplies,North,19,14.99,284.81
ORD-0236,2025-01-20,Paper Ream,Office Supplies,East,15,9.99,149.85
ORD-0237,2025-11-01,Wireless Mouse,Electronics,West,20,24.99,499.8
ORD-0238,2025-11-30,Webcam HD,Electronics,West,19,79.99,1519.81
ORD-0239,2025-02-22,Desk Lamp,Furniture,East,15,34.99,524.85
ORD-0240,2025-01-21,Mechanical Keyboard,Electronics,West,6,99.99,599.94
ORD-0241,2025-11-09,Rain Jacket,Apparel,East,17,69.99,1189.83
ORD-0242,2025-06-23,Paper Ream,Office Supplies,North,14,9.99,139.86
ORD-0243,2025-02-18,Notebook Pack,Office Supplies,West,11,12.99,142.89
ORD-0244,2025-03-18,Stapler,Office Supplies,South,20,14.99,299.8
ORD-0245,2025-03-08,Stapler,Office Supplies,North,13,14.99,194.87
ORD-0246,2025-11-26,Desk Organizer,Office Supplies,South,13,19.99,259.87
ORD-0247,2025-07-05,Webcam HD,Electronics,,17,79.99,1359.83
ORD-0248,2025-06-24,Gel Pens 10ct,Office Supplies,West,7,8.99,62.93
ORD-0249,2025-03-21,Office Chair,Furniture,North,5,189.99,949.95
ORD-0250,2025-03-09,Bluetooth Speaker,Electronics,South,20,59.99,1199.8
ORD-0251,2025-03-26,Office Chair,Furniture,North,20,189.99,3799.8
ORD-0252,2025-08-16,Baseball Cap,Apparel,West,8,16.99,135.92
ORD-0253,2025-06-08,Bookshelf,Furniture,West,8,129.99,1039.92
ORD-0254,2025-08-14,Standing Desk,Furniture,East,19,449.99,8549.81
ORD-0255,2025-08-03,Rain Jacket,Apparel,South,17,69.99,1189.83
ORD-0256,2025-11-25,Standing Desk,Furniture,East,2,449.99,899.98
ORD-0257,2025-05-26,Mechanical Keyboard,Electronics,South,4,99.99,399.96
ORD-0258,2025-03-17,Paper Ream,Office Supplies,North,17,9.99,169.83
ORD-0259,2025-01-14,Monitor Arm,Furniture,West,12,89.99,1079.88
ORD-0260,2025-02-11,Gel Pens 10ct,Office Supplies,North,13,8.99,116.87
ORD-0261,2025-03-16,Notebook Pack,Office Supplies,East,11,12.99,142.89
ORD-0262,2025-08-18,Hoodie,Apparel,North,16,44.99,719.84
ORD-0263,2025-03-18,Bluetooth Speaker,Electronics,West,7,59.99,419.93
ORD-0264,2025-06-04,Bluetooth Speaker,Electronics,South,8,59.99,479.92
ORD-0265,2025-02-02,Rain Jacket,Apparel,West,15,69.99,1049.85
ORD-0266,2025-05-04,Mechanical Keyboard,Electronics,East,19,99.99,1899.81
ORD-0267,2025-06-30,Logo T-Shirt,Apparel,West,20,18.99,379.8
ORD-0268,2025-07-04,Desk Lamp,Furniture,North,17,34.99,594.83
ORD-0269,2025-11-22,Socks 3-Pack,Apparel,East,2,11.99,23.98
ORD-0270,2025-02-04,Notebook Pack,Office Supplies,North,12,12.99,155.88
ORD-0271,2025-06-30,Gel Pens 10ct,Office Supplies,South,2,8.99,17.98
ORD-0272,2025-03-11,Socks 3-Pack,Apparel,West,6,11.99,71.94
ORD-0273,2025-01-23,Bluetooth Speaker,Electronics,North,7,59.99,419.93
ORD-0274,2025-07-23,Stapler,Office Supplies,West,17,14.99,254.83
ORD-0275,2025-05-27,Notebook Pack,Office Supplies,North,7,12.99,90.93
ORD-0276,2025-07-08,Stapler,Office Supplies,West,4,14.99,59.96
ORD-0277,2025-04-06,Socks 3-Pack,Apparel,West,11,11.99,131.89
ORD-0278,2025-02-12,Desk Organizer,Office Supplies,North,9,19.99,179.91
ORD-0279,2025-10-07,Rain Jacket,Apparel,North,6,69.99,419.94
ORD-0280,2025-06-06,Bluetooth Speaker,Electronics,West,10,59.99,599.9
ORD-0281,2025-08-17,Monitor Arm,Furniture,East,12,89.99,1079.88
ORD-0282,2025-02-08,Baseball Cap,Apparel,West,2,16.99,33.98
ORD-0283,2025-01-16,Desk Organizer,Office Supplies,West,6,19.99,119.94
ORD-0284,2025-05-01,USB-C Hub,Electronics,East,3,39.99,119.97
ORD-0285,2025-01-17,Paper Ream,Office Supplies,West,19,9.99,189.81
ORD-0286,2025-02-09,Stapler,Office Supplies,East,15,14.99,224.85
ORD-0287,2025-05-08,Baseball Cap,Apparel,North,9,16.99,152.91
ORD-0288,2025-07-18,Monitor Arm,Furniture,North,17,89.99,1529.83
ORD-0289,2025-04-20,Stapler,Office Supplies,East,15,14.99,224.85
ORD-0290,2025-03-11,Hoodie,Apparel,West,4,44.99,179.96
ORD-0291,2025-12-16,Monitor Arm,Furniture,East,3,89.99,269.97
ORD-0292,2025-10-05,Notebook Pack,Office Supplies,East,18,12.99,233.82
ORD-0293,2025-09-18,Office Chair,Furniture,South,12,189.99,2279.88
ORD-0294,2025-01-14,Office Chair,Furniture,East,16,189.99,3039.84
ORD-0295,2025-11-10,Rain Jacket,Apparel,North,5,69.99,349.95
ORD-0296,2025-09-27,Paper Ream,Office Supplies,West,16,9.99,159.84
ORD-0297,2025-11-25,USB-C Hub,Electronics,West,11,39.99,439.89
ORD-0298,2025-11-24,Gel Pens 10ct,Office Supplies,South,18,8.99,161.82
ORD-0299,2025-03-05,Rain Jacket,Apparel,East,2,69.99,139.98
ORD-0300,2025-12-30,Office Chair,Furniture,East,11,189.99,2089.89
ORD-0301,2025-11-22,Bluetooth Speaker,Electronics,East,7,59.99,419.93
ORD-0302,2025-10-01,Standing Desk,Furniture,South,20,449.99,8999.8
ORD-0303,2025-11-06,Office Chair,Furniture,North,20,189.99,3799.8
ORD-0304,2025-11-25,Wireless Mouse,Electronics,East,2,24.99,49.98
ORD-0305,2025-11-13,Bookshelf,Furniture,West,14,129.99,1819.86
ORD-0306,2025-05-06,Stapler,Office Supplies,West,16,14.99,239.84
ORD-0307,2025-12-19,Paper Ream,Office Supplies,West,3,9.99,29.97
ORD-0308,2025-04-15,Socks 3-Pack,Apparel,South,15,11.99,179.85
ORD-0309,2025-07-24,Stapler,Office Supplies,East,12,14.99,179.88
ORD-0310,2025-08-27,Bluetooth Speaker,Electronics,West,8,59.99,479.92
ORD-0311,2025-01-26,Office Chair,Furniture,West,4,189.99,759.96
ORD-0312,2025-06-17,Hoodie,Apparel,East,6,44.99,269.94
ORD-0313,2025-09-21,Office Chair,Furniture,East,16,189.99,3039.84
ORD-0314,2025-07-21,Logo T-Shirt,Apparel,South,3,18.99,56.97
ORD-0315,2025-01-25,Bookshelf,Furniture,West,12,129.99,1559.88
ORD-0316,2025-01-05,Baseball Cap,Apparel,West,18,16.99,305.82
ORD-0317,2025-07-26,Standing Desk,Furniture,West,12,449.99,5399.88
ORD-0318,2025-04-10,Mechanical Keyboard,Electronics,East,18,99.99,1799.82
ORD-0319,2025-08-19,Webcam HD,Electronics,East,17,79.99,1359.83
ORD-0320,2025-07-21,USB-C Hub,Electronics,East,4,39.99,159.96
ORD-0321,2025-11-05,Gel Pens 10ct,Office Supplies,North,7,8.99,62.93
ORD-0322,2025-06-20,Wireless Mouse,Electronics,West,5,24.99,124.95
ORD-0323,2025-03-13,Bookshelf,Furniture,East,17,129.99,2209.83
ORD-0324,2025-06-03,Monitor Arm,Furniture,West,20,89.99,1799.8
ORD-0325,2025-07-08,Paper Ream,Office Supplies,North,1,9.99,9.99
ORD-0326,2025-12-19,Rain Jacket,Apparel,West,10,69.99,699.9
ORD-0327,2025-04-27,Desk Organizer,Office Supplies,West,19,19.99,379.81
ORD-0328,2025-07-14,Bookshelf,Furniture,South,20,129.99,2599.8
ORD-0329,2025-04-08,Mechanical Keyboard,Electronics,,4,99.99,399.96
ORD-0330,2025-07-31,Paper Ream,Office Supplies,West,5,9.99,49.95
ORD-0331,2025-09-23,Logo T-Shirt,Apparel,East,5,18.99,94.95
ORD-0332,2025-06-10,Rain Jacket,Apparel,West,13,69.99,909.87
ORD-0333,2025-12-13,Desk Organizer,Office Supplies,East,12,19.99,239.88
ORD-0334,2025-05-23,Hoodie,Apparel,South,8,44.99,359.92
ORD-0335,2025-12-20,Stapler,Office Supplies,East,7,14.99,104.93
ORD-0336,2025-05-21,Baseball Cap,Apparel,West,18,16.99,305.82
ORD-0337,2025-05-29,Baseball Cap,Apparel,North,5,16.99,84.95
ORD-0338,2025-09-03,Paper Ream,Office Supplies,East,9,9.99,89.91
ORD-0339,2025-11-12,Gel Pens 10ct,Office Supplies,South,4,8.99,35.96
ORD-0340,2025-04-26,Desk Lamp,Furniture,North,17,34.99,594.83
ORD-0341,2025-08-30,Webcam HD,Electronics,South,11,79.99,879.89
ORD-0342,2025-07-28,Mechanical Keyboard,Electronics,West,6,99.99,599.94
ORD-0343,2025-06-14,Hoodie,Apparel,North,10,44.99,449.9
ORD-0344,2025-10-01,Mechanical Keyboard,Electronics,North,8,99.99,799.92
ORD-0345,2025-01-19,Monitor Arm,Furniture,West,6,89.99,539.94
ORD-0346,2025-01-20,Hoodie,Apparel,,10,44.99,449.9
ORD-0347,2025-08-21,Bluetooth Speaker,Electronics,West,10,59.99,599.9
ORD-0348,2025-05-20,Bookshelf,Furniture,North,15,129.99,1949.85
ORD-0349,2025-11-28,Gel Pens 10ct,Office Supplies,South,15,8.99,134.85
ORD-0350,2025-10-18,Bluetooth Speaker,Electronics,South,10,59.99,599.9
